aX,aY,aZ,gX,gY,gZ
-0.074,-0.146,0.888,-25.696,-9.155,9.705
-0.068,-0.113,0.885,-16.907,-10.315,6.958
-0.053,-0.093,0.893,-8.240,-11.475,5.066
-0.053,-0.118,0.916,-1.221,-12.268,3.479
-0.057,-0.138,0.953,2.625,-12.146,4.272
-0.076,-0.144,0.977,2.808,-10.681,7.996
-0.079,-0.159,0.983,-1.038,-8.606,12.024
-0.068,-0.186,0.987,-6.409,-7.080,15.198
-0.062,-0.214,0.990,-12.512,-5.798,16.907
-0.058,-0.232,0.988,-18.372,-4.211,16.968
-0.055,-0.247,0.993,-22.522,-2.686,15.503
-0.055,-0.268,0.997,-23.437,-2.075,12.817
-0.060,-0.287,1.001,-22.705,-2.075,10.315
-0.071,-0.275,1.000,-20.813,-2.502,7.629
-0.074,-0.291,0.998,-18.311,-4.395,3.113
-0.062,-0.298,0.999,-15.930,-7.812,-0.427
-0.058,-0.276,0.997,-12.634,-11.780,-2.502
-0.073,-0.265,1.000,-9.155,-16.296,-5.249
-0.072,-0.262,0.981,-7.263,-20.325,-9.216
-0.071,-0.251,0.954,-7.263,-24.048,-14.771
-0.078,-0.214,0.933,-7.874,-27.954,-20.508
-0.108,-0.249,0.909,-9.827,-31.128,-25.757
-0.103,-0.247,0.883,-14.099,-32.410,-28.381
-0.117,-0.221,0.856,-21.790,-31.982,-29.114
-0.114,-0.226,0.831,-30.884,-30.579,-29.724
-0.083,-0.259,0.817,-38.208,-28.503,-31.189
-0.089,-0.254,0.809,-40.771,-25.085,-33.325
-0.052,-0.223,0.807,-37.903,-23.865,-39.490
0.027,-0.194,0.777,-31.677,-26.550,-46.082
0.118,-0.181,0.715,-23.743,-30.457,-49.377
0.212,-0.117,0.603,-19.226,-34.363,-51.208
0.378,-0.082,0.513,-24.292,-39.978,-60.425
0.517,0.017,0.386,-36.621,-43.152,-75.317
0.694,0.196,0.245,-49.622,-43.823,-93.933
0.827,0.464,0.087,-56.458,-44.739,-109.924
0.981,0.714,-0.118,-54.871,-46.509,-117.859
1.109,1.002,-0.355,-50.720,-49.683,-121.338
1.162,1.335,-0.680,-47.913,-51.880,-123.047
1.186,1.539,-1.152,-44.617,-56.152,-123.413
1.140,1.742,-1.693,-40.710,-58.533,-117.126
1.111,2.082,-2.221,-33.325,-49.805,-100.525
1.021,2.577,-2.627,-7.996,-23.315,-76.599
1.052,2.799,-2.513,59.937,17.700,-49.988
1.188,2.539,-1.969,164.917,60.425,-18.616
1.432,2.138,-1.320,248.169,86.060,12.939
1.698,1.980,-0.687,268.738,88.684,42.114
1.852,1.749,-0.128,248.535,81.787,84.045
1.828,1.255,0.299,215.576,70.557,143.066
1.772,0.637,0.620,183.899,70.007,222.229
1.679,-0.206,0.928,159.607,84.961,301.331
1.510,-1.157,1.354,134.216,113.525,359.436
1.283,-1.941,1.906,106.628,149.048,390.015
1.070,-2.474,2.495,84.045,176.208,393.860
0.969,-2.805,2.999,82.520,178.772,376.831
0.847,-2.975,3.360,97.168,155.823,350.037
0.710,-3.017,3.749,120.850,127.197,316.040
0.575,-2.975,3.969,154.236,104.126,286.133
0.445,-2.921,4.000,168.396,71.716,269.592
0.693,-3.016,4.000,171.509,54.993,269.653
0.614,-3.131,4.000,162.231,50.354,280.579
0.499,-3.484,3.996,132.690,55.603,276.550
0.175,-3.788,3.888,74.036,28.625,243.530
-0.375,-3.565,4.000,21.973,-62.927,227.539
-0.361,-3.411,3.750,12.329,-73.181,187.866
-0.443,-3.212,3.307,17.456,-89.417,123.230
-0.514,-2.849,2.993,23.621,-128.845,62.988
-0.449,-2.458,2.673,19.409,-173.218,18.005
-0.330,-2.126,2.344,1.465,-212.280,-12.207
-0.223,-1.821,1.859,-23.743,-222.229,-25.146
-0.209,-1.624,1.397,-55.115,-215.332,-31.555
-0.251,-1.489,0.911,-88.806,-199.890,-32.898
-0.317,-1.350,0.489,-114.990,-180.176,-32.166
-0.329,-1.220,0.195,-124.634,-159.180,-36.011
-0.280,-1.091,0.036,-118.958,-136.353,-46.265
-0.195,-1.006,0.001,-103.577,-115.173,-61.707
-0.111,-0.918,0.038,-86.243,-98.999,-78.918
-0.027,-0.814,0.089,-71.594,-89.600,-94.727
0.101,-0.694,0.137,-61.279,-82.581,-105.957
0.257,-0.543,0.207,-54.321,-77.026,-107.544
0.370,-0.467,0.289,-48.523,-77.393,-98.450
0.472,-0.495,0.334,-48.706,-86.487,-83.252
0.574,-0.610,0.292,-59.570,-99.060,-66.528
0.590,-0.699,0.085,-74.402,-109.192,-49.011
0.523,-0.715,-0.184,-81.238,-112.366,-32.776
0.479,-0.760,-0.437,-75.378,-107.239,-25.269
0.448,-0.855,-0.682,-63.293,-96.375,-25.940
0.488,-0.917,-0.910,-51.208,-83.191,-29.785
0.584,-0.928,-1.062,-40.100,-67.749,-35.889
0.736,-0.907,-1.149,-30.701,-48.889,-43.884
0.911,-0.874,-1.203,-22.034,-30.396,-49.805
1.077,-0.827,-1.239,-13.977,-14.465,-50.781
1.134,-0.748,-1.281,-9.094,-1.282,-45.349
1.108,-0.715,-1.354,-8.484,9.033,-32.349
1.036,-0.767,-1.432,-12.390,17.578,-11.414
0.913,-0.995,-1.486,-19.592,27.588,12.939
0.794,-1.180,-1.548,-31.616,40.894,31.189
0.645,-1.254,-1.639,-39.856,50.476,35.950
0.480,-1.399,-1.756,-32.593,53.345,27.954
0.220,-1.539,-1.853,-8.789,57.556,11.169
-0.047,-1.563,-1.930,18.494,70.984,-14.648
-0.344,-1.552,-1.928,45.166,93.384,-47.363
-0.583,-1.564,-1.802,68.787,124.695,-78.125
-0.822,-1.662,-1.576,82.825,163.147,-96.375
-1.058,-1.891,-1.348,79.407,203.918,-98.755
-1.174,-2.204,-1.090,57.861,244.080,-86.792
-1.248,-2.701,-0.852,23.926,283.081,-68.237
-1.212,-3.200,-0.795,-22.034,316.406,-57.251
-0.879,-3.497,-0.929,-73.486,335.876,-67.383
-0.013,-3.292,-1.057,-112.610,342.834,-104.492
1.174,-2.584,-0.989,-127.686,353.821,-159.363
2.262,-1.381,-0.496,-127.747,384.338,-211.304
3.426,0.001,0.369,-131.836,428.711,-249.451
4.000,1.592,1.388,-142.944,455.811,-271.973
4.000,3.065,2.034,-145.325,435.364,-282.898
4.000,3.978,2.667,-134.216,375.366,-278.198
4.000,4.000,3.358,-123.352,310.425,-250.671
4.000,4.000,3.903,-127.197,258.179,-204.163
4.000,3.976,4.000,-154.663,194.702,-149.414
3.606,3.246,3.621,-191.223,111.267,-91.187

-0.069,-0.007,0.851,-29.724,-18.555,2.747
-0.060,0.015,0.777,-18.555,-23.254,-0.977
-0.051,0.059,0.727,-10.010,-26.794,-4.333
-0.060,0.104,0.704,-6.592,-26.978,-5.737
-0.053,0.130,0.681,-3.357,-26.123,-4.211
-0.059,0.157,0.671,-1.099,-26.123,-0.916
-0.047,0.175,0.637,-3.723,-27.466,4.333
-0.033,0.172,0.567,-5.188,-28.503,10.254
-0.072,0.179,0.568,-7.568,-27.649,16.541
-0.111,0.128,0.559,-14.099,-26.184,18.005
-0.143,0.051,0.488,-18.127,-23.682,14.771
-0.188,0.016,0.422,-15.869,-23.315,5.981
-0.190,0.040,0.347,-10.315,-22.888,-10.498
-0.140,0.160,0.281,-12.939,-16.479,-34.546
-0.132,0.230,0.161,-14.954,-5.554,-63.904
-0.041,0.358,0.001,1.648,0.732,-89.539
0.066,0.507,-0.127,19.775,1.343,-109.436
0.234,0.627,-0.228,31.250,0.977,-122.803
0.455,0.744,-0.315,40.039,5.920,-124.390
0.701,0.890,-0.383,45.776,16.541,-117.188
0.932,0.959,-0.479,51.636,29.419,-105.225
1.104,0.931,-0.553,59.326,41.626,-91.370
1.250,0.889,-0.596,64.819,49.683,-75.989
1.344,0.886,-0.647,66.650,51.208,-59.265
1.373,0.899,-0.732,68.298,43.640,-43.762
1.303,0.940,-0.888,69.214,29.358,-32.959
1.170,0.982,-1.121,75.012,12.573,-24.963
1.051,1.071,-1.337,92.102,-1.465,-18.677
0.939,1.167,-1.472,121.765,-9.888,-16.479
0.938,1.188,-1.446,157.898,-9.705,-19.409
0.943,1.196,-1.328,186.584,-2.502,-22.095
0.991,1.326,-1.100,197.754,7.935,-19.653
1.073,1.703,-0.771,193.542,19.348,-4.211
1.266,1.846,-0.463,186.707,23.010,28.748
1.401,1.780,-0.150,184.998,23.743,86.731
1.462,1.372,0.198,191.589,33.997,168.457
1.503,0.597,0.576,192.505,56.885,263.550
