aX,aY,aZ,gX,gY,gZ
-0.050,-0.182,0.856,3.601,-3.418,0.000
-0.049,-0.171,0.816,0.610,-1.709,3.052
-0.045,-0.150,0.765,-2.441,1.648,8.118
-0.033,-0.141,0.712,-5.493,8.240,15.381
-0.030,-0.167,0.673,-9.949,16.357,23.926
-0.011,-0.227,0.651,-15.259,24.475,33.142
0.004,-0.298,0.623,-18.921,31.921,42.847
0.003,-0.373,0.622,-20.630,38.391,52.124
0.013,-0.480,0.634,-20.630,43.274,60.120
0.028,-0.596,0.642,-20.081,47.241,66.101
0.045,-0.712,0.639,-20.935,51.392,69.519
0.068,-0.814,0.634,-23.987,56.335,68.665
0.116,-0.902,0.626,-26.367,60.425,63.477
0.205,-0.975,0.592,-25.085,62.073,55.542
0.317,-1.000,0.541,-20.386,58.960,46.265
0.463,-0.990,0.456,-13.000,50.781,37.476
0.641,-0.949,0.336,-2.991,36.560,30.823
0.810,-0.918,0.210,10.254,16.724,25.024
0.927,-0.930,0.095,26.550,-3.662,15.503
0.970,-0.911,-0.038,36.072,-20.996,2.441
0.981,-0.786,-0.230,32.104,-33.630,-7.141
0.964,-0.610,-0.439,19.470,-41.992,-11.353
0.896,-0.487,-0.721,4.211,-44.922,-9.033
0.768,-0.384,-0.962,-7.690,-44.556,-0.916
0.632,-0.368,-1.206,-17.029,-38.879,9.216
0.428,-0.443,-1.385,-24.719,-24.231,15.625
0.218,-0.501,-1.597,-23.376,-0.793,13.611
0.123,-0.451,-1.716,-5.615,24.231,0.183
0.085,-0.355,-1.625,42.175,43.274,-22.095
0.238,-0.251,-1.307,116.028,60.242,-51.025
0.497,-0.079,-0.766,186.523,78.247,-75.928
0.678,0.150,-0.094,231.689,92.773,-82.825
0.894,0.309,0.614,247.742,108.398,-67.017
0.894,0.274,1.307,227.356,128.113,-38.208
0.726,0.187,1.907,162.842,153.381,-13.977
0.600,0.082,2.244,86.182,186.951,2.991
0.553,-0.003,2.459,27.954,214.050,10.559
0.538,-0.043,2.735,2.197,227.661,7.446
0.611,-0.101,3.090,-0.549,228.516,-0.732
0.645,-0.219,3.469,9.521,208.862,-7.141
0.796,-0.357,3.735,16.052,188.232,-7.935
0.931,-0.701,3.992,6.958,173.462,-12.390
0.576,-0.817,4.000,-22.095,118.347,-17.334
0.463,-1.047,4.000,-37.415,74.585,-8.667
0.371,-1.353,4.000,-31.250,63.354,-9.766
0.266,-1.544,4.000,-19.958,51.941,-21.545
0.298,-1.647,4.000,-8.911,40.039,-36.377
0.414,-1.778,3.895,-1.465,24.231,-46.204
0.389,-1.795,3.673,-5.188,7.568,-49.927
0.415,-1.808,3.401,-23.865,-8.606,-57.434
0.386,-1.792,3.115,-50.476,-20.935,-65.308
0.335,-1.769,2.773,-76.416,-28.320,-75.684
0.329,-1.586,2.459,-98.328,-33.936,-87.524
0.305,-1.418,2.086,-102.539,-42.908,-95.093
0.304,-1.265,1.767,-96.558,-54.260,-97.046
0.198,-1.223,1.508,-86.975,-63.965,-95.947
0.141,-1.141,1.315,-78.979,-60.364,-91.858
0.142,-1.207,1.095,-69.336,-44.250,-88.196
0.164,-1.167,1.011,-65.247,-19.104,-84.167
0.224,-1.226,1.025,-68.054,9.705,-84.290
0.371,-1.151,1.080,-86.609,40.955,-88.989
0.559,-0.972,1.149,-107.910,67.261,-94.910
0.679,-0.829,1.147,-119.202,80.566,-98.999
0.661,-0.755,1.117,-118.042,78.796,-102.356
0.651,-0.728,1.107,-111.877,61.401,-102.295
0.692,-0.726,1.087,-105.042,39.307,-99.121
0.586,-0.602,0.935,-101.318,23.254,-94.421
0.547,-0.567,0.741,-102.722,13.916,-90.454
0.473,-0.474,0.422,-108.459,16.479,-78.735
0.236,-0.255,0.141,-117.737,28.015,-67.993
0.293,-0.178,-0.079,-129.456,39.124,-66.895
0.574,-0.227,-0.220,-135.925,45.837,-68.115
0.818,-0.184,-0.122,-131.470,39.185,-68.604
0.997,-0.109,0.162,-135.132,13.550,-85.388
0.887,-0.037,0.244,-150.146,-13.367,-103.943
0.760,0.105,-0.016,-169.617,-38.147,-110.901
0.689,0.204,-0.504,-187.378,-59.570,-110.413
0.609,0.380,-1.125,-192.200,-83.557,-113.586
0.654,0.751,-1.525,-172.607,-112.183,-132.874
0.737,1.263,-1.607,-131.348,-131.409,-163.757
0.840,1.601,-1.444,-82.397,-134.216,-188.782
0.991,1.795,-1.133,-43.396,-124.512,-193.359
0.980,1.971,-0.778,-27.344,-106.873,-172.302
0.839,2.120,-0.424,-28.198,-84.473,-129.211
0.595,2.137,-0.099,-35.706,-57.190,-72.632
0.191,1.946,0.102,-51.514,-23.132,-12.695
-0.211,1.671,0.168,-80.322,15.137,42.297
-0.545,1.414,0.132,-117.249,61.523,83.313
-0.651,1.191,-0.041,-148.132,101.013,104.187
-0.511,0.938,-0.048,-144.409,85.876,108.398
-0.548,0.650,0.160,-98.694,15.991,108.521
-0.479,0.381,0.342,-39.734,-44.128,99.976
-0.361,0.119,0.459,5.371,-70.496,79.407
-0.252,-0.080,0.570,32.410,-71.960,55.420
-0.173,-0.214,0.712,41.992,-56.580,35.889
-0.063,-0.278,0.784,37.537,-27.649,22.278
0.048,-0.236,0.788,27.893,5.371,11.169
0.089,-0.163,0.798,23.010,29.297,0.671
0.063,-0.106,0.835,23.254,39.551,-6.714
0.068,0.002,0.880,23.499,41.138,-9.399
0.089,0.123,0.885,20.752,40.039,-8.057
0.116,0.217,0.855,17.029,38.452,-4.395
0.159,0.236,0.831,13.794,36.682,1.160
0.217,0.189,0.884,8.850,35.339,9.277
0.281,0.141,0.997,1.892,35.461,17.151
0.285,0.088,1.091,-3.845,35.095,24.475
0.290,0.058,1.148,-4.089,29.907,30.640
0.237,0.025,1.156,-1.465,21.484,31.128
0.241,-0.017,1.113,-0.244,13.672,26.062
0.208,-0.037,1.023,-1.465,9.033,19.592
0.154,-0.031,0.947,-2.014,5.554,12.512
0.124,-0.016,0.903,-0.793,1.892,4.089
0.119,0.018,0.885,1.709,-1.648,-3.357
0.141,0.050,0.885,5.798,-5.432,-10.498
0.180,0.060,0.900,12.695,-8.789,-17.273
0.213,0.086,0.934,19.958,-11.353,-22.766
0.258,0.106,0.983,26.062,-11.963,-25.452
0.304,0.122,1.039,28.687,-10.376,-24.353
0.344,0.132,1.080,26.978,-9.033,-21.484

0.010,-0.370,0.908,14.038,-18.738,-18.860
0.044,-0.346,0.849,11.597,-22.095,-17.822
0.072,-0.328,0.799,10.437,-24.963,-15.747
0.093,-0.324,0.743,7.935,-26.184,-12.634
0.126,-0.331,0.680,2.808,-24.475,-7.935
0.152,-0.339,0.596,-4.456,-19.836,-2.502
0.170,-0.344,0.502,-12.695,-15.198,2.930
0.208,-0.386,0.373,-20.020,-13.428,10.376
0.238,-0.455,0.216,-25.940,-15.015,19.409
0.231,-0.530,0.063,-30.457,-18.921,27.954
0.218,-0.629,-0.097,-33.386,-23.682,35.339
0.188,-0.725,-0.268,-31.494,-29.297,42.175
0.113,-0.820,-0.423,-25.024,-35.339,46.509
0.048,-0.920,-0.561,-12.878,-42.480,45.349
0.005,-1.009,-0.683,6.104,-51.147,38.879
-0.009,-1.062,-0.753,31.738,-60.181,29.724
0.048,-1.130,-0.777,58.655,-67.749,19.592
0.129,-1.189,-0.770,80.078,-72.449,12.085
0.230,-1.204,-0.712,91.980,-72.144,8.423
0.307,-1.198,-0.693,92.957,-65.979,7.935
0.346,-1.149,-0.673,86.304,-57.617,10.376
0.333,-1.109,-0.624,76.721,-45.288,15.320
0.389,-1.028,-0.573,65.247,-30.029,20.996
0.378,-0.932,-0.514,57.617,-12.878,26.917
0.301,-0.860,-0.402,53.406,3.540,31.006
0.183,-0.785,-0.299,47.363,21.179,30.884
0.047,-0.663,-0.193,40.466,38.513,25.757
-0.060,-0.512,-0.051,38.513,56.030,16.479
-0.048,-0.316,0.134,41.138,76.843,2.502
0.064,-0.166,0.391,47.729,97.534,-9.155
0.242,-0.040,0.669,50.232,117.615,-15.381
0.397,0.061,0.983,44.250,139.893,-13.123
0.496,0.110,1.302,29.968,163.940,-3.845
0.541,0.204,1.553,10.132,182.678,5.615
0.583,0.295,1.778,-7.751,194.641,12.817
0.592,0.299,2.045,-17.090,203.552,19.287
0.762,0.275,2.314,-21.973,207.581,23.437
0.695,0.180,2.607,-27.954,203.186,24.170
0.636,0.097,2.822,-29.785,198.914,23.987
0.975,-0.096,2.990,-32.898,205.322,22.583
0.856,-0.077,3.257,-50.232,157.837,3.601
0.798,-0.065,3.304,-56.274,119.568,2.563
0.888,-0.100,3.179,-57.434,118.103,7.812
0.878,-0.100,3.094,-65.857,115.112,8.911
0.848,-0.047,3.023,-73.669,105.652,10.742
0.980,-0.045,2.937,-73.730,98.755,14.343
0.931,-0.070,2.953,-68.298,74.158,15.930
0.857,-0.105,2.963,-63.293,41.931,12.695
0.838,-0.107,2.888,-60.913,19.958,4.578
0.853,-0.081,2.764,-58.350,2.258,-6.531
0.769,-0.054,2.648,-53.711,-25.269,-13.794
0.714,-0.092,2.494,-49.255,-54.138,-14.709
0.659,-0.121,2.284,-50.720,-74.158,-12.573
0.554,-0.125,2.063,-55.786,-82.153,-10.071
0.453,-0.148,1.869,-57.678,-82.703,-7.446
0.357,-0.200,1.705,-56.335,-81.726,-4.456
0.279,-0.257,1.576,-53.467,-79.956,-0.854
0.208,-0.295,1.472,-48.340,-78.735,0.854
0.146,-0.330,1.406,-41.260,-77.148,1.648
0.114,-0.392,1.370,-32.837,-79.407,1.038
0.103,-0.392,1.332,-23.621,-81.726,-6.958
0.092,-0.360,1.296,-12.878,-88.806,-14.038
0.105,-0.354,1.256,-2.197,-97.290,-16.113
0.143,-0.363,1.226,2.808,-102.356,-14.832
0.137,-0.361,1.223,1.282,-97.473,-12.939
0.100,-0.388,1.237,-3.174,-85.327,-9.644
0.057,-0.442,1.267,-8.484,-72.388,-4.028
0.015,-0.476,1.225,-14.893,-64.270,2.319
-0.105,-0.498,1.140,-24.292,-61.340,7.080
-0.183,-0.526,1.062,-29.724,-55.786,9.338
-0.231,-0.553,1.009,-29.297,-42.175,10.010
